contrast	target	abs_heading	heading	batch	T	H	success
1	60	315	0	2019	0.86	0	1
1	60	225	0	2019	0.86	0	1
1	60	90	0	2019	0.86	0	1
1	60	50	5	2019	0.86	0.08726646259971647	0
1	60	97.5	7.5	2019	0.86	0.1308996938995747	0
1	60	20	20	2019	0.86	0.3490658503988659	0
1	60	155	20	2019	0.86	0.3490658503988659	0
1	60	295	25	2019	0.86	0.4363323129985824	0
1	60	215	35	2019	0.86	0.6108652381980153	0
1	60	135	45	2019	0.86	0.7853981633974483	0
1	60	90	45	2019	0.86	0.7853981633974483	0
1	60	5	50	2019	0.86	0.8726646259971648	0
1	60	15	60	2019	0.86	1.0471975511965976	0
1	60	105	60	2019	0.86	1.0471975511965976	0
1	60	60	60	2019	0.86	1.0471975511965976	0
1	60	110	65	2019	0.86	1.1344640137963142	0
1	60	290	65	2019	0.86	1.1344640137963142	0
1	60	205	70	2019	0.86	1.2217304763960306	0
1	60	310	85	2019	0.86	1.4835298641951802	0
1	60	315	90	2019	0.86	1.5707963267948966	0
1	60	15	105	2019	0.86	1.8325957145940461	0
1	60	295	115	2019	0.86	2.007128639793479	0
1	60	305	125	2019	0.86	2.1816615649929116	0
1	60	15	150	2019	0.86	2.6179938779914944	0
1	60	190	190	2019	0.86	-2.96705972839036	0
1	60	110	200	2019	0.86	-2.792526803190927	0
1	60	10	235	2019	0.86	-2.181661564992912	0
1	60	250	250	2019	0.86	-1.919862177193763	0
1	60	120	255	2019	0.86	-1.8325957145940457	0
1	60	220	265	2019	0.86	-1.658062789394613	0
1	60	320	275	2019	0.86	-1.4835298641951802	0
1	60	280	280	2019	0.86	-1.3962634015954638	0
1	60	240	285	2019	0.86	-1.3089969389957465	0
1	60	200	290	2019	0.86	-1.221730476396031	0
1	60	200	290	2019	0.86	-1.221730476396031	0
1	60	70	295	2019	0.86	-1.1344640137963138	0
1	60	120	300	2019	0.86	-1.0471975511965974	0
1	60	80	305	2019	0.86	-0.959931088596881	0
1	60	55	325	2019	0.86	-0.6108652381980155	0
1	60	65	335	2019	0.86	-0.43633231299858277	0
1	60	85	355	2019	0.86	-0.08726646259971638	0
1	60	40	355	2019	0.86	-0.08726646259971638	0
0.05	60	50	5	2019	0.86	0.08726646259971647	0
0.05	60	285	15	2019	0.86	0.2617993877991494	0
0.05	60	150	15	2019	0.86	0.2617993877991494	0
0.05	60	165	30	2019	0.86	0.5235987755982988	0
0.05	60	265	40	2019	0.86	0.6981317007977318	0
0.05	60	150	60	2019	0.86	1.0471975511965976	0
0.05	60	35	80	2019	0.86	1.3962634015954636	0
0.05	60	350	80	2019	0.86	1.3962634015954636	0
0.05	60	265	85	2019	0.86	1.4835298641951802	0
0.05	60	235	100	2019	0.86	1.7453292519943295	0
0.05	60	330	105	2019	0.86	1.8325957145940461	0
0.05	60	200	110	2019	0.86	1.9198621771937625	0
0.05	60	200	110	2019	0.86	1.9198621771937625	0
0.05	60	75	120	2019	0.86	2.0943951023931953	0
0.05	60	350	125	2019	0.86	2.1816615649929116	0
0.05	60	100	145	2019	0.86	2.5307274153917776	0
0.05	60	210	165	2019	0.86	2.8797932657906435	0
0.05	60	120	165	2019	0.86	2.8797932657906435	0
0.05	60	185	185	2019	0.86	-3.0543261909900767	0
0.05	60	10	190	2019	0.86	-2.96705972839036	0
0.05	60	280	190	2019	0.86	-2.96705972839036	0
0.05	60	160	205	2019	0.86	-2.705260340591211	0
0.05	60	145	235	2019	0.86	-2.181661564992912	0
0.05	60	345	255	2019	0.86	-1.8325957145940457	0
0.05	60	260	260	2019	0.86	-1.7453292519943293	0
0.05	60	170	260	2019	0.86	-1.7453292519943293	0
0.05	60	45	270	2019	0.86	-1.5707963267948966	0
0.05	60	270	270	2019	0.86	-1.5707963267948966	0
0.05	60	50	275	2019	0.86	-1.4835298641951802	0
0.05	60	320	275	2019	0.86	-1.4835298641951802	0
0.05	60	330	285	2019	0.86	-1.3089969389957465	0
0.05	60	295	295	2019	0.86	-1.1344640137963138	0
0.05	60	215	305	2019	0.86	-0.959931088596881	0
0.05	60	125	305	2019	0.86	-0.959931088596881	0
0.05	60	180	315	2019	0.86	-0.7853981633974483	0
0.05	60	135	315	2019	0.86	-0.7853981633974483	0
0.05	60	190	325	2019	0.86	-0.6108652381980155	0
0.05	60	10	325	2019	0.86	-0.6108652381980155	0
0.05	60	30	345	2019	0.86	-0.26179938779914913	0
0.05	60	120	345	2019	0.86	-0.26179938779914913	0
0.05	60	345	345	2019	0.86	-0.26179938779914913	0
0.05	60	350	350	2019	0.86	-0.17453292519943364	0
0.1	60	90	0	2019	0.86	0	1
0.1	60	180	0	2019	0.86	0	1
0.1	60	185	5	2019	0.86	0.08726646259971647	0
0.1	60	230	5	2019	0.86	0.08726646259971647	0
0.1	60	235	10	2019	0.86	0.17453292519943295	0
0.1	60	190	10	2019	0.86	0.17453292519943295	0
0.1	60	205	25	2019	0.86	0.4363323129985824	0
0.1	60	170	35	2019	0.86	0.6108652381980153	0
0.1	60	310	40	2019	0.86	0.6981317007977318	0
0.1	60	310	40	2019	0.86	0.6981317007977318	0
0.1	60	135	45	2019	0.86	0.7853981633974483	0
0.1	60	285	60	2019	0.86	1.0471975511965976	0
0.1	60	70	70	2019	0.86	1.2217304763960306	0
0.1	60	195	105	2019	0.86	1.8325957145940461	0
0.1	60	120	120	2019	0.86	2.0943951023931953	0
0.1	60	35	125	2019	0.86	2.1816615649929116	0
0.1	60	265	130	2019	0.86	2.2689280275926285	0
0.1	60	315	135	2019	0.86	2.356194490192345	0
0.1	60	5	140	2019	0.86	2.443460952792061	0
0.1	60	5	140	2019	0.86	2.443460952792061	0
0.1	60	155	155	2019	0.86	2.705260340591211	0
0.1	60	210	165	2019	0.86	2.8797932657906435	0
0.1	60	315	180	2019	0.86	3.141592653589793	0
0.1	60	180	180	2019	0.86	3.141592653589793	0
0.1	60	225	180	2019	0.86	3.141592653589793	0
0.1	60	240	195	2019	0.86	-2.879793265790644	0
0.1	60	160	205	2019	0.86	-2.705260340591211	0
