Type	abs_heading	heading
20	10	10
20	335	20
20	70	25
20	180	45
20	150	60
20	200	65
20	250	70
20	260	80
20	80	80
20	300	120
20	220	130
20	180	135
20	230	140
20	175	175
20	5	185
20	230	185
20	100	190
20	100	190
20	240	195
20	290	200
20	200	200
20	215	215
20	260	215
20	80	215
20	185	230
20	140	230
20	145	235
20	120	255
20	225	270
20	180	270
20	240	285
20	330	285
20	120	300
20	300	300
20	170	305
20	185	320
20	240	330
20	300	345
20	215	350
20	85	355
30	50	5
30	5	5
30	100	10
30	235	10
30	115	25
30	175	40
30	230	50
30	95	50
30	185	50
30	150	60
30	300	75
30	35	80
30	240	105
30	110	110
30	110	110
30	20	110
30	225	135
30	90	135
30	0	135
30	270	135
30	240	150
30	250	160
30	210	165
30	125	170
30	315	180
30	140	185
30	280	190
30	240	195
30	250	205
30	260	215
30	215	215
30	135	225
30	335	245
30	160	250
30	165	255
30	135	270
30	270	270
30	180	270
30	65	290
30	300	300
30	205	340
30	350	350
30	310	355
40	185	5
40	160	25
40	120	30
40	5	50
40	190	55
40	55	55
40	240	60
40	215	80
40	315	90
40	210	120
40	120	120
40	150	150
40	255	165
40	165	165
40	35	170
40	225	180
40	275	185
40	120	210
40	165	210
40	260	215
40	180	225
40	280	235
40	55	235
40	240	240
40	60	240
40	45	270
40	280	280
40	195	285
40	65	290
40	225	315
40	185	320
40	55	325
40	240	330
40	285	330
40	20	335
40	200	335
40	110	335
40	215	350
40	175	355
40	40	355
40	85	355
50	180	0
50	270	0
50	45	0
50	180	0
50	90	0
50	275	5
50	140	5
50	5	5
50	100	10
50	15	15
50	300	30
50	310	40
50	355	40
50	325	40
50	185	50
50	290	65
50	170	80
50	180	90
50	240	105
50	240	105
50	30	120
50	20	155
50	160	160
50	340	160
50	210	165
50	35	170
50	180	180
50	150	195
50	120	210
50	120	210
50	180	225
50	320	230
50	100	235
50	330	240
50	200	245
50	110	245
50	290	245
50	340	250
50	250	250
50	320	275
50	230	275
50	70	295
50	315	315
50	285	330
50	355	340
50	100	340
50	75	345
50	170	350
50	215	350
50	170	350
50	85	355
50	355	355
60	315	0
60	225	0
60	90	0
60	50	5
60	97.5	7.5
60	20	20
60	155	20
60	295	25
60	215	35
60	135	45
60	90	45
60	5	50
60	15	60
60	105	60
60	60	60
60	110	65
60	290	65
60	205	70
60	310	85
60	315	90
60	15	105
60	295	115
60	305	125
60	15	150
60	190	190
60	110	200
60	10	235
60	250	250
60	120	255
60	220	265
60	320	275
60	280	280
60	240	285
60	200	290
60	200	290
60	70	295
60	120	300
60	80	305
60	55	325
60	65	335
60	85	355
60	40	355
70	180	0
70	50	5
70	325	10
70	245	20
70	110	20
70	80	35
70	40	40
70	85	40
70	330	60
70	105	60
70	75	75
70	210	75
70	40	85
70	300	120
70	300	120
70	40	130
70	5	140
70	185	140
70	190	145
70	180	180
70	0	190
70	350	215
70	215	215
70	340	250
70	80	260
70	0	270
70	35	305
70	175	310
70	275	320
70	145	325
70	290	335
70	340	340
70	340	340
70	210	345
70	125	350
70	80	350
70	215	350
70	130	355
70	220	355
70	130	355
