Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:49:20

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	13.22054      
301.0000      	33222.5914    	13.30546      
302.0000      	33112.5828    	13.07278      
303.0000      	33003.3003    	13.24184      
304.0000      	32894.7368    	13.20566      
305.0000      	32786.8852    	12.61856      
306.0000      	32679.7386    	11.99521      
307.0000      	32573.2899    	11.86381      
308.0000      	32467.5325    	12.36705      
309.0000      	32362.4595    	10.89296      
310.0000      	32258.0645    	10.65275      
311.0000      	32154.3408    	10.14869      
312.0000      	32051.2821    	9.45091       
313.0000      	31948.8818    	9.65240       
314.0000      	31847.1338    	9.98608       
315.0000      	31746.0317    	10.01510      
316.0000      	31645.5696    	10.21265      
317.0000      	31545.7413    	9.95020       
318.0000      	31446.5409    	9.64200       
319.0000      	31347.9624    	9.46700       
320.0000      	31250.0000    	9.55490       
321.0000      	31152.6480    	9.06081       
322.0000      	31055.9006    	8.77424       
323.0000      	30959.7523    	8.86674       
324.0000      	30864.1975    	8.59710       
325.0000      	30769.2308    	8.69431       
326.0000      	30674.8466    	8.77613       
327.0000      	30581.0398    	8.82698       
328.0000      	30487.8049    	8.39562       
329.0000      	30395.1368    	8.29189       
330.0000      	30303.0303    	8.11776       
331.0000      	30211.4804    	8.19525       
332.0000      	30120.4819    	8.50846       
333.0000      	30030.0300    	8.41600       
334.0000      	29940.1198    	8.70474       
335.0000      	29850.7463    	8.23435       
336.0000      	29761.9048    	8.17715       
337.0000      	29673.5905    	8.37692       
338.0000      	29585.7988    	8.63179       
339.0000      	29498.5251    	8.38398       
340.0000      	29411.7647    	8.33797       
341.0000      	29325.5132    	8.49350       
342.0000      	29239.7661    	8.65767       
343.0000      	29154.5190    	8.38600       
344.0000      	29069.7674    	8.44315       
345.0000      	28985.5072    	8.53691       
346.0000      	28901.7341    	8.51905       
347.0000      	28818.4438    	8.37705       
348.0000      	28735.6322    	8.58599       
349.0000      	28653.2951    	8.97910       
350.0000      	28571.4286    	9.45170       
351.0000      	28490.0285    	9.41945       
352.0000      	28409.0909    	9.30990       
353.0000      	28328.6119    	9.48625       
354.0000      	28248.5876    	9.77654       
355.0000      	28169.0141    	9.88298       
356.0000      	28089.8876    	10.21361      
357.0000      	28011.2045    	10.33852      
358.0000      	27932.9609    	10.74562      
359.0000      	27855.1532    	11.02013      
360.0000      	27777.7778    	11.22172      
361.0000      	27700.8310    	11.27024      
362.0000      	27624.3094    	11.39603      
363.0000      	27548.2094    	11.63409      
364.0000      	27472.5275    	11.72317      
365.0000      	27397.2603    	11.81005      
366.0000      	27322.4044    	12.05865      
367.0000      	27247.9564    	12.38507      
368.0000      	27173.9130    	12.77632      
369.0000      	27100.2710    	12.95395      
370.0000      	27027.0270    	13.06822      
371.0000      	26954.1779    	13.09899      
372.0000      	26881.7204    	13.23555      
373.0000      	26809.6515    	13.60706      
374.0000      	26737.9679    	14.11060      
375.0000      	26666.6667    	14.35996      
376.0000      	26595.7447    	14.62956      
377.0000      	26525.1989    	14.83036      
378.0000      	26455.0265    	15.14995      
379.0000      	26385.2243    	15.60423      
380.0000      	26315.7895    	16.08935      
381.0000      	26246.7192    	16.55555      
382.0000      	26178.0105    	16.71938      
383.0000      	26109.6606    	17.14493      
384.0000      	26041.6667    	17.62160      
385.0000      	25974.0260    	18.36538      
386.0000      	25906.7358    	18.70377      
387.0000      	25839.7933    	19.00008      
388.0000      	25773.1959    	19.18663      
389.0000      	25706.9409    	19.78231      
390.0000      	25641.0256    	20.33772      
391.0000      	25575.4476    	20.67710      
392.0000      	25510.2041    	20.82317      
393.0000      	25445.2926    	21.18905      
394.0000      	25380.7107    	21.63704      
395.0000      	25316.4557    	22.13107      
396.0000      	25252.5253    	22.66260      
397.0000      	25188.9169    	23.24423      
398.0000      	25125.6281    	23.96332      
399.0000      	25062.6566    	24.74283      
400.0000      	25000.0000    	25.51869      
401.0000      	24937.6559    	26.25794      
402.0000      	24875.6219    	26.63577      
403.0000      	24813.8958    	27.37921      
404.0000      	24752.4752    	28.11712      
405.0000      	24691.3580    	29.07218      
406.0000      	24630.5419    	29.92258      
407.0000      	24570.0246    	30.94254      
408.0000      	24509.8039    	32.06185      
409.0000      	24449.8778    	33.02617      
410.0000      	24390.2439    	33.93941      
411.0000      	24330.9002    	34.76694      
412.0000      	24271.8447    	35.29705      
413.0000      	24213.0751    	36.34726      
414.0000      	24154.5894    	37.21004      
415.0000      	24096.3855    	37.71374      
416.0000      	24038.4615    	38.25142      
417.0000      	23980.8153    	38.83652      
418.0000      	23923.4450    	39.25986      
419.0000      	23866.3484    	39.60723      
420.0000      	23809.5238    	39.85113      
421.0000      	23752.9691    	40.07714      
422.0000      	23696.6825    	40.47551      
423.0000      	23640.6619    	41.01388      
424.0000      	23584.9057    	41.37960      
425.0000      	23529.4118    	41.63796      
426.0000      	23474.1784    	42.01408      
427.0000      	23419.2037    	42.40313      
428.0000      	23364.4860    	42.55579      
429.0000      	23310.0233    	42.84872      
430.0000      	23255.8140    	42.99988      
431.0000      	23201.8561    	43.37919      
432.0000      	23148.1481    	43.72344      
433.0000      	23094.6882    	43.98560      
434.0000      	23041.4747    	44.19656      
435.0000      	22988.5057    	44.52062      
436.0000      	22935.7798    	44.85461      
437.0000      	22883.2952    	45.19539      
438.0000      	22831.0502    	45.17156      
439.0000      	22779.0433    	45.24779      
440.0000      	22727.2727    	45.41130      
441.0000      	22675.7370    	45.53016      
442.0000      	22624.4344    	45.58664      
443.0000      	22573.3634    	45.69130      
444.0000      	22522.5225    	45.71904      
445.0000      	22471.9101    	45.54889      
446.0000      	22421.5247    	45.42489      
447.0000      	22371.3647    	45.27032      
448.0000      	22321.4286    	44.97827      
449.0000      	22271.7149    	44.73912      
450.0000      	22222.2222    	44.48606      
451.0000      	22172.9490    	44.47799      
452.0000      	22123.8938    	44.72747      
453.0000      	22075.0552    	44.84372      
454.0000      	22026.4317    	44.84591      
455.0000      	21978.0220    	44.87181      
456.0000      	21929.8246    	45.02488      
457.0000      	21881.8381    	45.09370      
458.0000      	21834.0611    	45.13813      
459.0000      	21786.4924    	45.24529      
460.0000      	21739.1304    	45.31078      
461.0000      	21691.9740    	45.26207      
462.0000      	21645.0216    	45.23392      
463.0000      	21598.2721    	45.36040      
464.0000      	21551.7241    	45.57174      
465.0000      	21505.3763    	45.80696      
466.0000      	21459.2275    	45.88772      
467.0000      	21413.2762    	45.95149      
468.0000      	21367.5214    	46.00840      
469.0000      	21321.9616    	46.05068      
470.0000      	21276.5957    	46.15931      
471.0000      	21231.4225    	46.30190      
472.0000      	21186.4407    	46.57139      
473.0000      	21141.6490    	46.76799      
474.0000      	21097.0464    	47.13294      
475.0000      	21052.6316    	47.44407      
476.0000      	21008.4034    	47.69330      
477.0000      	20964.3606    	47.80513      
478.0000      	20920.5021    	47.88919      
479.0000      	20876.8267    	48.04567      
480.0000      	20833.3333    	48.17601      
481.0000      	20790.0208    	48.36003      
482.0000      	20746.8880    	48.53399      
483.0000      	20703.9337    	48.74419      
484.0000      	20661.1570    	48.95954      
485.0000      	20618.5567    	49.10307      
486.0000      	20576.1317    	49.34808      
487.0000      	20533.8809    	49.56082      
488.0000      	20491.8033    	49.77629      
489.0000      	20449.8978    	50.04055      
490.0000      	20408.1633    	50.26117      
491.0000      	20366.5988    	50.41372      
492.0000      	20325.2033    	50.48262      
493.0000      	20283.9757    	50.66515      
494.0000      	20242.9150    	50.84994      
495.0000      	20202.0202    	50.97892      
496.0000      	20161.2903    	51.08171      
497.0000      	20120.7243    	51.24162      
498.0000      	20080.3213    	51.45534      
499.0000      	20040.0802    	51.54030      
500.0000      	20000.0000    	51.63964      
501.0000      	19960.0798    	51.59494      
502.0000      	19920.3187    	51.51375      
503.0000      	19880.7157    	51.55026      
504.0000      	19841.2698    	51.71653      
505.0000      	19801.9802    	51.72204      
506.0000      	19762.8458    	51.66111      
507.0000      	19723.8659    	51.42564      
508.0000      	19685.0394    	51.15959      
509.0000      	19646.3654    	50.93941      
510.0000      	19607.8431    	50.70306      
511.0000      	19569.4716    	50.47168      
512.0000      	19531.2500    	50.08747      
513.0000      	19493.1774    	49.90350      
514.0000      	19455.2529    	49.49863      
515.0000      	19417.4757    	49.09903      
516.0000      	19379.8450    	48.58169      
517.0000      	19342.3598    	48.04151      
518.0000      	19305.0193    	47.52057      
519.0000      	19267.8227    	47.26346      
520.0000      	19230.7692    	46.81937      
521.0000      	19193.8580    	46.26274      
522.0000      	19157.0881    	45.72233      
523.0000      	19120.4589    	45.19529      
524.0000      	19083.9695    	44.65144      
525.0000      	19047.6190    	44.01421      
526.0000      	19011.4068    	43.79595      
527.0000      	18975.3321    	43.40205      
528.0000      	18939.3939    	43.00544      
529.0000      	18903.5917    	42.60031      
530.0000      	18867.9245    	42.22506      
531.0000      	18832.3917    	41.89925      
532.0000      	18796.9925    	41.61462      
533.0000      	18761.7261    	41.48526      
534.0000      	18726.5918    	41.29895      
535.0000      	18691.5888    	41.10126      
536.0000      	18656.7164    	40.87091      
537.0000      	18621.9739    	40.58339      
538.0000      	18587.3606    	40.45374      
539.0000      	18552.8757    	40.39762      
540.0000      	18518.5185    	40.37965      
541.0000      	18484.2884    	40.31446      
542.0000      	18450.1845    	40.28195      
543.0000      	18416.2063    	40.24117      
544.0000      	18382.3529    	40.17548      
545.0000      	18348.6239    	40.12661      
546.0000      	18315.0183    	40.06290      
547.0000      	18281.5356    	40.02730      
548.0000      	18248.1752    	39.97804      
549.0000      	18214.9362    	39.83076      
550.0000      	18181.8182    	39.64732      
551.0000      	18148.8203    	39.51528      
552.0000      	18115.9420    	39.23468      
553.0000      	18083.1826    	38.97808      
554.0000      	18050.5415    	38.68877      
555.0000      	18018.0180    	38.27153      
556.0000      	17985.6115    	37.90109      
557.0000      	17953.3214    	37.50037      
558.0000      	17921.1470    	37.33271      
559.0000      	17889.0877    	36.91955      
560.0000      	17857.1429    	36.49184      
561.0000      	17825.3119    	36.04965      
562.0000      	17793.5943    	35.63571      
563.0000      	17761.9893    	35.30663      
564.0000      	17730.4965    	35.14687      
565.0000      	17699.1150    	34.80223      
566.0000      	17667.8445    	34.50681      
567.0000      	17636.6843    	34.30487      
568.0000      	17605.6338    	34.10655      
569.0000      	17574.6924    	33.91470      
570.0000      	17543.8596    	33.86509      
571.0000      	17513.1349    	33.86748      
572.0000      	17482.5175    	33.92920      
573.0000      	17452.0070    	34.07647      
574.0000      	17421.6028    	34.28372      
575.0000      	17391.3043    	34.44636      
576.0000      	17361.1111    	34.79858      
577.0000      	17331.0225    	35.19499      
578.0000      	17301.0381    	35.60548      
579.0000      	17271.1572    	36.10011      
580.0000      	17241.3793    	36.68665      
581.0000      	17211.7040    	36.98206      
582.0000      	17182.1306    	37.59625      
583.0000      	17152.6587    	38.12782      
584.0000      	17123.2877    	38.66036      
585.0000      	17094.0171    	39.28775      
586.0000      	17064.8464    	39.88210      
587.0000      	17035.7751    	40.15955      
588.0000      	17006.8027    	40.63140      
589.0000      	16977.9287    	41.14192      
590.0000      	16949.1525    	41.63014      
591.0000      	16920.4738    	41.97021      
592.0000      	16891.8919    	42.21033      
593.0000      	16863.4064    	42.35463      
594.0000      	16835.0168    	42.58766      
595.0000      	16806.7227    	42.87199      
596.0000      	16778.5235    	43.09610      
597.0000      	16750.4188    	43.32437      
598.0000      	16722.4080    	43.43402      
599.0000      	16694.4908    	43.41644      
