Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   15:03:55

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	14.37854      
301.0000      	33222.5914    	13.61958      
302.0000      	33112.5828    	12.95292      
303.0000      	33003.3003    	12.88869      
304.0000      	32894.7368    	12.18885      
305.0000      	32786.8852    	12.48231      
306.0000      	32679.7386    	12.02516      
307.0000      	32573.2899    	10.82445      
308.0000      	32467.5325    	11.19450      
309.0000      	32362.4595    	12.24867      
310.0000      	32258.0645    	11.77769      
311.0000      	32154.3408    	11.51933      
312.0000      	32051.2821    	10.38904      
313.0000      	31948.8818    	10.07381      
314.0000      	31847.1338    	9.66168       
315.0000      	31746.0317    	10.01159      
316.0000      	31645.5696    	9.87831       
317.0000      	31545.7413    	9.67219       
318.0000      	31446.5409    	9.56004       
319.0000      	31347.9624    	9.27324       
320.0000      	31250.0000    	9.56968       
321.0000      	31152.6480    	9.08364       
322.0000      	31055.9006    	8.58975       
323.0000      	30959.7523    	8.45548       
324.0000      	30864.1975    	8.40493       
325.0000      	30769.2308    	8.37415       
326.0000      	30674.8466    	8.27220       
327.0000      	30581.0398    	8.46407       
328.0000      	30487.8049    	7.81819       
329.0000      	30395.1368    	7.55858       
330.0000      	30303.0303    	7.57155       
331.0000      	30211.4804    	7.80753       
332.0000      	30120.4819    	8.30792       
333.0000      	30030.0300    	8.18760       
334.0000      	29940.1198    	7.98493       
335.0000      	29850.7463    	7.48918       
336.0000      	29761.9048    	7.46180       
337.0000      	29673.5905    	7.54930       
338.0000      	29585.7988    	7.56969       
339.0000      	29498.5251    	7.54868       
340.0000      	29411.7647    	7.48907       
341.0000      	29325.5132    	7.37397       
342.0000      	29239.7661    	7.75751       
343.0000      	29154.5190    	7.81178       
344.0000      	29069.7674    	7.55241       
345.0000      	28985.5072    	7.45122       
346.0000      	28901.7341    	7.67649       
347.0000      	28818.4438    	7.78435       
348.0000      	28735.6322    	7.98029       
349.0000      	28653.2951    	8.00215       
350.0000      	28571.4286    	8.12423       
351.0000      	28490.0285    	8.11807       
352.0000      	28409.0909    	8.14015       
353.0000      	28328.6119    	8.20776       
354.0000      	28248.5876    	8.32548       
355.0000      	28169.0141    	8.21659       
356.0000      	28089.8876    	8.48679       
357.0000      	28011.2045    	8.41057       
358.0000      	27932.9609    	8.50325       
359.0000      	27855.1532    	8.72579       
360.0000      	27777.7778    	9.02028       
361.0000      	27700.8310    	9.19232       
362.0000      	27624.3094    	9.04877       
363.0000      	27548.2094    	9.34632       
364.0000      	27472.5275    	9.57777       
365.0000      	27397.2603    	9.55328       
366.0000      	27322.4044    	9.65035       
367.0000      	27247.9564    	9.68502       
368.0000      	27173.9130    	9.86331       
369.0000      	27100.2710    	10.10999      
370.0000      	27027.0270    	10.31110      
371.0000      	26954.1779    	10.37863      
372.0000      	26881.7204    	10.62580      
373.0000      	26809.6515    	10.72896      
374.0000      	26737.9679    	10.81171      
375.0000      	26666.6667    	10.99159      
376.0000      	26595.7447    	11.43863      
377.0000      	26525.1989    	11.70401      
378.0000      	26455.0265    	11.97353      
379.0000      	26385.2243    	12.24068      
380.0000      	26315.7895    	12.62627      
381.0000      	26246.7192    	12.84101      
382.0000      	26178.0105    	12.95366      
383.0000      	26109.6606    	13.16994      
384.0000      	26041.6667    	13.27589      
385.0000      	25974.0260    	13.56294      
386.0000      	25906.7358    	13.87784      
387.0000      	25839.7933    	14.34941      
388.0000      	25773.1959    	14.69932      
389.0000      	25706.9409    	15.05151      
390.0000      	25641.0256    	15.32179      
391.0000      	25575.4476    	15.62741      
392.0000      	25510.2041    	15.86383      
393.0000      	25445.2926    	16.31048      
394.0000      	25380.7107    	16.60912      
395.0000      	25316.4557    	16.92402      
396.0000      	25252.5253    	17.27635      
397.0000      	25188.9169    	17.69183      
398.0000      	25125.6281    	18.24033      
399.0000      	25062.6566    	18.72786      
400.0000      	25000.0000    	19.03158      
401.0000      	24937.6559    	19.35991      
402.0000      	24875.6219    	19.59742      
