Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:43:50

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	13.25485      
301.0000      	33222.5914    	13.23814      
302.0000      	33112.5828    	12.68569      
303.0000      	33003.3003    	11.91708      
304.0000      	32894.7368    	12.64441      
305.0000      	32786.8852    	11.18273      
306.0000      	32679.7386    	11.50435      
307.0000      	32573.2899    	12.41472      
308.0000      	32467.5325    	12.83669      
309.0000      	32362.4595    	12.10378      
310.0000      	32258.0645    	11.07709      
311.0000      	32154.3408    	10.43661      
312.0000      	32051.2821    	9.66482       
313.0000      	31948.8818    	9.95412       
314.0000      	31847.1338    	9.73552       
315.0000      	31746.0317    	9.09410       
316.0000      	31645.5696    	8.77509       
317.0000      	31545.7413    	8.57413       
318.0000      	31446.5409    	9.35093       
319.0000      	31347.9624    	9.07339       
320.0000      	31250.0000    	8.87234       
321.0000      	31152.6480    	7.56241       
322.0000      	31055.9006    	7.61067       
323.0000      	30959.7523    	8.13649       
324.0000      	30864.1975    	8.13761       
325.0000      	30769.2308    	7.93424       
326.0000      	30674.8466    	7.89405       
327.0000      	30581.0398    	8.26786       
328.0000      	30487.8049    	7.82901       
329.0000      	30395.1368    	7.46823       
330.0000      	30303.0303    	7.26585       
331.0000      	30211.4804    	7.29245       
332.0000      	30120.4819    	7.63576       
333.0000      	30030.0300    	7.49286       
334.0000      	29940.1198    	7.90465       
335.0000      	29850.7463    	7.44337       
336.0000      	29761.9048    	7.20950       
337.0000      	29673.5905    	6.99858       
338.0000      	29585.7988    	7.32140       
339.0000      	29498.5251    	7.31010       
340.0000      	29411.7647    	7.39992       
341.0000      	29325.5132    	7.24483       
342.0000      	29239.7661    	7.24677       
343.0000      	29154.5190    	7.07176       
344.0000      	29069.7674    	7.21017       
345.0000      	28985.5072    	7.29202       
346.0000      	28901.7341    	7.29677       
347.0000      	28818.4438    	7.12742       
348.0000      	28735.6322    	7.04424       
349.0000      	28653.2951    	7.21508       
350.0000      	28571.4286    	7.54383       
351.0000      	28490.0285    	7.61672       
352.0000      	28409.0909    	7.45547       
353.0000      	28328.6119    	7.26104       
354.0000      	28248.5876    	7.44166       
355.0000      	28169.0141    	7.53244       
356.0000      	28089.8876    	7.88880       
357.0000      	28011.2045    	7.89725       
358.0000      	27932.9609    	7.91979       
359.0000      	27855.1532    	7.99616       
360.0000      	27777.7778    	7.91318       
361.0000      	27700.8310    	7.90569       
362.0000      	27624.3094    	8.02444       
363.0000      	27548.2094    	8.03648       
364.0000      	27472.5275    	7.90834       
365.0000      	27397.2603    	7.90562       
366.0000      	27322.4044    	8.22749       
367.0000      	27247.9564    	8.39974       
368.0000      	27173.9130    	8.46961       
369.0000      	27100.2710    	8.49172       
370.0000      	27027.0270    	8.57370       
371.0000      	26954.1779    	8.62550       
372.0000      	26881.7204    	8.77601       
373.0000      	26809.6515    	8.92147       
374.0000      	26737.9679    	8.99099       
375.0000      	26666.6667    	9.09663       
376.0000      	26595.7447    	9.40015       
377.0000      	26525.1989    	9.69464       
378.0000      	26455.0265    	9.93423       
379.0000      	26385.2243    	10.08876      
380.0000      	26315.7895    	10.23474      
381.0000      	26246.7192    	10.28667      
382.0000      	26178.0105    	10.44913      
383.0000      	26109.6606    	10.82004      
384.0000      	26041.6667    	11.03008      
385.0000      	25974.0260    	11.16048      
386.0000      	25906.7358    	11.26482      
387.0000      	25839.7933    	11.53914      
388.0000      	25773.1959    	11.89600      
389.0000      	25706.9409    	12.23409      
390.0000      	25641.0256    	12.57120      
391.0000      	25575.4476    	12.77238      
392.0000      	25510.2041    	12.90418      
393.0000      	25445.2926    	13.20162      
394.0000      	25380.7107    	13.46103      
395.0000      	25316.4557    	13.75524      
396.0000      	25252.5253    	14.06031      
397.0000      	25188.9169    	14.34436      
398.0000      	25125.6281    	14.67381      
399.0000      	25062.6566    	15.05640      
400.0000      	25000.0000    	15.49700      
401.0000      	24937.6559    	15.81997      
402.0000      	24875.6219    	15.96262      
403.0000      	24813.8958    	16.15783      
404.0000      	24752.4752    	16.52312      
405.0000      	24691.3580    	17.14443      
406.0000      	24630.5419    	17.60942      
407.0000      	24570.0246    	17.95268      
408.0000      	24509.8039    	18.25438      
409.0000      	24449.8778    	18.58564      
410.0000      	24390.2439    	19.08533      
411.0000      	24330.9002    	19.56646      
412.0000      	24271.8447    	19.75988      
413.0000      	24213.0751    	20.03572      
414.0000      	24154.5894    	20.35351      
415.0000      	24096.3855    	20.69676      
416.0000      	24038.4615    	20.91133      
417.0000      	23980.8153    	21.10258      
418.0000      	23923.4450    	21.18493      
419.0000      	23866.3484    	21.32253      
420.0000      	23809.5238    	21.30955      
421.0000      	23752.9691    	21.43781      
422.0000      	23696.6825    	21.64831      
423.0000      	23640.6619    	21.87347      
424.0000      	23584.9057    	22.05412      
425.0000      	23529.4118    	22.26650      
426.0000      	23474.1784    	22.57057      
427.0000      	23419.2037    	22.75789      
428.0000      	23364.4860    	22.79657      
429.0000      	23310.0233    	22.78780      
430.0000      	23255.8140    	22.83908      
431.0000      	23201.8561    	22.92788      
432.0000      	23148.1481    	23.14809      
433.0000      	23094.6882    	23.38689      
434.0000      	23041.4747    	23.60140      
435.0000      	22988.5057    	23.87715      
436.0000      	22935.7798    	24.09854      
437.0000      	22883.2952    	24.29942      
438.0000      	22831.0502    	24.31349      
439.0000      	22779.0433    	24.32584      
440.0000      	22727.2727    	24.37221      
441.0000      	22675.7370    	24.34192      
442.0000      	22624.4344    	24.43563      
443.0000      	22573.3634    	24.60654      
444.0000      	22522.5225    	24.80962      
445.0000      	22471.9101    	24.85364      
446.0000      	22421.5247    	24.83232      
447.0000      	22371.3647    	24.84960      
448.0000      	22321.4286    	24.83043      
449.0000      	22271.7149    	24.90939      
450.0000      	22222.2222    	24.94023      
451.0000      	22172.9490    	25.00047      
