Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:42:47

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	13.63656      
301.0000      	33222.5914    	13.05253      
302.0000      	33112.5828    	12.09227      
303.0000      	33003.3003    	12.06215      
304.0000      	32894.7368    	12.59157      
305.0000      	32786.8852    	12.04912      
306.0000      	32679.7386    	11.44612      
307.0000      	32573.2899    	10.74117      
308.0000      	32467.5325    	10.31048      
309.0000      	32362.4595    	10.71407      
310.0000      	32258.0645    	11.50713      
311.0000      	32154.3408    	11.17599      
312.0000      	32051.2821    	9.88260       
313.0000      	31948.8818    	9.91298       
314.0000      	31847.1338    	10.20880      
315.0000      	31746.0317    	9.97062       
316.0000      	31645.5696    	9.40325       
317.0000      	31545.7413    	8.58915       
318.0000      	31446.5409    	8.74568       
319.0000      	31347.9624    	7.79617       
320.0000      	31250.0000    	8.60542       
321.0000      	31152.6480    	8.88386       
322.0000      	31055.9006    	9.41265       
323.0000      	30959.7523    	8.74460       
324.0000      	30864.1975    	7.62687       
325.0000      	30769.2308    	7.86355       
326.0000      	30674.8466    	9.07557       
327.0000      	30581.0398    	9.48818       
328.0000      	30487.8049    	8.44123       
329.0000      	30395.1368    	7.60787       
330.0000      	30303.0303    	7.25933       
331.0000      	30211.4804    	7.63843       
332.0000      	30120.4819    	8.22978       
333.0000      	30030.0300    	8.18419       
334.0000      	29940.1198    	8.13685       
335.0000      	29850.7463    	7.59821       
336.0000      	29761.9048    	7.41083       
337.0000      	29673.5905    	7.52658       
338.0000      	29585.7988    	7.84076       
339.0000      	29498.5251    	7.48801       
340.0000      	29411.7647    	7.18074       
341.0000      	29325.5132    	7.37785       
342.0000      	29239.7661    	8.02344       
343.0000      	29154.5190    	8.07346       
344.0000      	29069.7674    	7.77212       
345.0000      	28985.5072    	7.60387       
346.0000      	28901.7341    	7.58648       
347.0000      	28818.4438    	7.57851       
348.0000      	28735.6322    	7.83973       
349.0000      	28653.2951    	8.01571       
350.0000      	28571.4286    	7.88357       
351.0000      	28490.0285    	7.49582       
352.0000      	28409.0909    	7.28756       
353.0000      	28328.6119    	7.64302       
354.0000      	28248.5876    	8.06910       
355.0000      	28169.0141    	7.80997       
356.0000      	28089.8876    	7.68906       
357.0000      	28011.2045    	7.62439       
358.0000      	27932.9609    	8.00371       
359.0000      	27855.1532    	8.34588       
360.0000      	27777.7778    	8.59174       
361.0000      	27700.8310    	8.60537       
362.0000      	27624.3094    	8.46412       
363.0000      	27548.2094    	8.49303       
364.0000      	27472.5275    	8.38745       
365.0000      	27397.2603    	8.48990       
366.0000      	27322.4044    	8.57447       
367.0000      	27247.9564    	8.49021       
368.0000      	27173.9130    	8.37715       
369.0000      	27100.2710    	8.66745       
370.0000      	27027.0270    	8.97331       
371.0000      	26954.1779    	9.02030       
372.0000      	26881.7204    	8.99965       
373.0000      	26809.6515    	9.00364       
374.0000      	26737.9679    	9.05401       
375.0000      	26666.6667    	9.27955       
376.0000      	26595.7447    	9.67817       
377.0000      	26525.1989    	9.87173       
378.0000      	26455.0265    	9.84363       
379.0000      	26385.2243    	10.01918      
380.0000      	26315.7895    	10.41809      
381.0000      	26246.7192    	10.74991      
382.0000      	26178.0105    	10.89484      
383.0000      	26109.6606    	11.05445      
384.0000      	26041.6667    	11.08214      
385.0000      	25974.0260    	11.15232      
386.0000      	25906.7358    	11.48173      
387.0000      	25839.7933    	12.01998      
388.0000      	25773.1959    	12.27584      
389.0000      	25706.9409    	12.35742      
390.0000      	25641.0256    	12.48339      
391.0000      	25575.4476    	12.79253      
392.0000      	25510.2041    	13.00984      
393.0000      	25445.2926    	13.35676      
394.0000      	25380.7107    	13.54746      
395.0000      	25316.4557    	13.68183      
396.0000      	25252.5253    	13.94526      
397.0000      	25188.9169    	14.40919      
398.0000      	25125.6281    	14.99040      
399.0000      	25062.6566    	15.31711      
400.0000      	25000.0000    	15.61791      
401.0000      	24937.6559    	15.97679      
402.0000      	24875.6219    	16.23551      
403.0000      	24813.8958    	16.61550      
404.0000      	24752.4752    	17.05099      
405.0000      	24691.3580    	17.45926      
406.0000      	24630.5419    	17.67835      
407.0000      	24570.0246    	18.07285      
408.0000      	24509.8039    	18.51357      
409.0000      	24449.8778    	19.03717      
410.0000      	24390.2439    	19.43366      
411.0000      	24330.9002    	19.66010      
412.0000      	24271.8447    	19.80904      
413.0000      	24213.0751    	20.21227      
414.0000      	24154.5894    	20.70551      
415.0000      	24096.3855    	21.01743      
416.0000      	24038.4615    	21.28075      
417.0000      	23980.8153    	21.42192      
418.0000      	23923.4450    	21.45526      
419.0000      	23866.3484    	21.68968      
420.0000      	23809.5238    	21.90685      
421.0000      	23752.9691    	22.08924      
422.0000      	23696.6825    	22.11507      
423.0000      	23640.6619    	22.22821      
424.0000      	23584.9057    	22.41386      
425.0000      	23529.4118    	22.67449      
426.0000      	23474.1784    	22.99724      
427.0000      	23419.2037    	23.14552      
428.0000      	23364.4860    	23.08647      
429.0000      	23310.0233    	23.10834      
430.0000      	23255.8140    	23.21557      
431.0000      	23201.8561    	23.46198      
432.0000      	23148.1481    	23.64517      
433.0000      	23094.6882    	23.84579      
434.0000      	23041.4747    	23.94304      
435.0000      	22988.5057    	24.16362      
