Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:46:56

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	9.51045       
301.0000      	33222.5914    	8.89392       
302.0000      	33112.5828    	9.35703       
303.0000      	33003.3003    	9.31352       
304.0000      	32894.7368    	8.41446       
305.0000      	32786.8852    	7.75805       
306.0000      	32679.7386    	7.83972       
307.0000      	32573.2899    	8.34849       
308.0000      	32467.5325    	7.70456       
309.0000      	32362.4595    	7.60837       
310.0000      	32258.0645    	7.18313       
311.0000      	32154.3408    	7.71075       
312.0000      	32051.2821    	8.43547       
313.0000      	31948.8818    	8.37419       
314.0000      	31847.1338    	7.67930       
315.0000      	31746.0317    	6.97401       
316.0000      	31645.5696    	6.64322       
317.0000      	31545.7413    	6.92967       
318.0000      	31446.5409    	6.97756       
319.0000      	31347.9624    	6.71757       
320.0000      	31250.0000    	6.45709       
321.0000      	31152.6480    	5.87706       
322.0000      	31055.9006    	5.59117       
323.0000      	30959.7523    	5.78281       
324.0000      	30864.1975    	6.21060       
325.0000      	30769.2308    	6.26650       
326.0000      	30674.8466    	6.31958       
327.0000      	30581.0398    	6.02101       
328.0000      	30487.8049    	5.86976       
329.0000      	30395.1368    	5.97331       
330.0000      	30303.0303    	5.86537       
331.0000      	30211.4804    	5.91825       
332.0000      	30120.4819    	5.98211       
333.0000      	30030.0300    	5.81338       
334.0000      	29940.1198    	5.68611       
335.0000      	29850.7463    	5.28232       
336.0000      	29761.9048    	5.30571       
337.0000      	29673.5905    	5.31196       
338.0000      	29585.7988    	5.51475       
339.0000      	29498.5251    	5.42044       
340.0000      	29411.7647    	5.62204       
341.0000      	29325.5132    	5.51102       
342.0000      	29239.7661    	5.28362       
343.0000      	29154.5190    	5.23355       
344.0000      	29069.7674    	5.32415       
345.0000      	28985.5072    	5.49075       
346.0000      	28901.7341    	5.31243       
347.0000      	28818.4438    	5.44451       
348.0000      	28735.6322    	5.19362       
349.0000      	28653.2951    	5.08988       
350.0000      	28571.4286    	5.17102       
351.0000      	28490.0285    	5.36830       
352.0000      	28409.0909    	5.29543       
353.0000      	28328.6119    	5.09266       
354.0000      	28248.5876    	5.04111       
355.0000      	28169.0141    	5.09842       
356.0000      	28089.8876    	5.36295       
357.0000      	28011.2045    	5.26974       
358.0000      	27932.9609    	5.19571       
359.0000      	27855.1532    	5.18500       
360.0000      	27777.7778    	5.20747       
361.0000      	27700.8310    	5.37458       
362.0000      	27624.3094    	5.49936       
363.0000      	27548.2094    	5.67896       
364.0000      	27472.5275    	5.45933       
365.0000      	27397.2603    	5.37200       
366.0000      	27322.4044    	5.39775       
367.0000      	27247.9564    	5.34432       
368.0000      	27173.9130    	5.40144       
369.0000      	27100.2710    	5.44440       
370.0000      	27027.0270    	5.43436       
371.0000      	26954.1779    	5.37362       
372.0000      	26881.7204    	5.51893       
373.0000      	26809.6515    	5.62918       
374.0000      	26737.9679    	5.67307       
375.0000      	26666.6667    	5.57123       
376.0000      	26595.7447    	5.65403       
377.0000      	26525.1989    	5.78557       
378.0000      	26455.0265    	5.88970       
379.0000      	26385.2243    	5.96933       
380.0000      	26315.7895    	6.13994       
381.0000      	26246.7192    	6.08435       
382.0000      	26178.0105    	6.12137       
383.0000      	26109.6606    	6.16774       
384.0000      	26041.6667    	6.23162       
385.0000      	25974.0260    	6.33787       
386.0000      	25906.7358    	6.38439       
387.0000      	25839.7933    	6.48219       
388.0000      	25773.1959    	6.75688       
389.0000      	25706.9409    	6.88097       
390.0000      	25641.0256    	6.93752       
391.0000      	25575.4476    	7.00627       
392.0000      	25510.2041    	6.99077       
393.0000      	25445.2926    	6.99858       
394.0000      	25380.7107    	7.10456       
395.0000      	25316.4557    	7.19110       
396.0000      	25252.5253    	7.20928       
397.0000      	25188.9169    	7.29380       
398.0000      	25125.6281    	7.35346       
399.0000      	25062.6566    	7.59837       
400.0000      	25000.0000    	7.75073       
401.0000      	24937.6559    	7.90450       
402.0000      	24875.6219    	7.96173       
403.0000      	24813.8958    	7.94919       
404.0000      	24752.4752    	8.12216       
405.0000      	24691.3580    	8.30347       
406.0000      	24630.5419    	8.53388       
407.0000      	24570.0246    	8.64862       
408.0000      	24509.8039    	8.69201       
409.0000      	24449.8778    	8.68219       
410.0000      	24390.2439    	8.72480       
411.0000      	24330.9002    	8.92338       
412.0000      	24271.8447    	9.05760       
413.0000      	24213.0751    	9.22550       
414.0000      	24154.5894    	9.24149       
415.0000      	24096.3855    	9.18608       
416.0000      	24038.4615    	9.27785       
417.0000      	23980.8153    	9.38272       
418.0000      	23923.4450    	9.46810       
419.0000      	23866.3484    	9.39954       
420.0000      	23809.5238    	9.40095       
421.0000      	23752.9691    	9.40441       
422.0000      	23696.6825    	9.56112       
423.0000      	23640.6619    	9.66103       
424.0000      	23584.9057    	9.72174       
425.0000      	23529.4118    	9.75309       
426.0000      	23474.1784    	9.77938       
427.0000      	23419.2037    	9.88407       
428.0000      	23364.4860    	9.86664       
429.0000      	23310.0233    	9.93317       
430.0000      	23255.8140    	9.96882       
431.0000      	23201.8561    	10.06644      
432.0000      	23148.1481    	10.13610      
433.0000      	23094.6882    	10.18211      
434.0000      	23041.4747    	10.25368      
435.0000      	22988.5057    	10.30569      
436.0000      	22935.7798    	10.28555      
437.0000      	22883.2952    	10.33556      
438.0000      	22831.0502    	10.36491      
439.0000      	22779.0433    	10.50261      
440.0000      	22727.2727    	10.63190      
441.0000      	22675.7370    	10.69770      
442.0000      	22624.4344    	10.78561      
443.0000      	22573.3634    	10.84290      
444.0000      	22522.5225    	10.89709      
