Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:32:41

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	7.42838       
301.0000      	33222.5914    	7.81846       
302.0000      	33112.5828    	6.87927       
303.0000      	33003.3003    	6.39663       
304.0000      	32894.7368    	5.87303       
305.0000      	32786.8852    	6.22020       
306.0000      	32679.7386    	6.34453       
307.0000      	32573.2899    	6.01518       
308.0000      	32467.5325    	6.08684       
309.0000      	32362.4595    	5.65642       
310.0000      	32258.0645    	5.64748       
311.0000      	32154.3408    	6.09084       
312.0000      	32051.2821    	6.51409       
313.0000      	31948.8818    	6.69385       
314.0000      	31847.1338    	6.70701       
315.0000      	31746.0317    	5.79981       
316.0000      	31645.5696    	5.42041       
317.0000      	31545.7413    	5.49461       
318.0000      	31446.5409    	5.41574       
319.0000      	31347.9624    	5.01958       
320.0000      	31250.0000    	4.71885       
321.0000      	31152.6480    	4.66360       
322.0000      	31055.9006    	5.31185       
323.0000      	30959.7523    	5.38068       
324.0000      	30864.1975    	5.15860       
325.0000      	30769.2308    	4.56296       
326.0000      	30674.8466    	4.72280       
327.0000      	30581.0398    	5.16841       
328.0000      	30487.8049    	5.13122       
329.0000      	30395.1368    	5.50503       
330.0000      	30303.0303    	5.56711       
331.0000      	30211.4804    	5.20030       
332.0000      	30120.4819    	5.03357       
333.0000      	30030.0300    	5.01660       
334.0000      	29940.1198    	5.20586       
335.0000      	29850.7463    	4.94332       
336.0000      	29761.9048    	4.85143       
337.0000      	29673.5905    	4.75024       
338.0000      	29585.7988    	4.81577       
339.0000      	29498.5251    	4.98968       
340.0000      	29411.7647    	5.20243       
341.0000      	29325.5132    	4.81677       
342.0000      	29239.7661    	4.79760       
343.0000      	29154.5190    	4.87448       
344.0000      	29069.7674    	4.81661       
345.0000      	28985.5072    	4.76445       
346.0000      	28901.7341    	4.96682       
347.0000      	28818.4438    	5.04423       
348.0000      	28735.6322    	5.02299       
349.0000      	28653.2951    	4.85152       
350.0000      	28571.4286    	4.65096       
351.0000      	28490.0285    	4.75439       
352.0000      	28409.0909    	4.61178       
353.0000      	28328.6119    	4.58421       
354.0000      	28248.5876    	4.65544       
355.0000      	28169.0141    	4.82693       
356.0000      	28089.8876    	4.96232       
357.0000      	28011.2045    	4.94010       
358.0000      	27932.9609    	4.97762       
359.0000      	27855.1532    	4.95597       
360.0000      	27777.7778    	4.82460       
361.0000      	27700.8310    	4.99832       
362.0000      	27624.3094    	4.72144       
363.0000      	27548.2094    	4.52693       
364.0000      	27472.5275    	4.42349       
365.0000      	27397.2603    	4.58365       
366.0000      	27322.4044    	4.75153       
367.0000      	27247.9564    	4.68845       
368.0000      	27173.9130    	4.69666       
369.0000      	27100.2710    	4.66337       
370.0000      	27027.0270    	4.69464       
371.0000      	26954.1779    	4.69405       
372.0000      	26881.7204    	4.66688       
373.0000      	26809.6515    	4.89236       
374.0000      	26737.9679    	4.83250       
375.0000      	26666.6667    	4.76167       
376.0000      	26595.7447    	4.62393       
377.0000      	26525.1989    	4.76321       
378.0000      	26455.0265    	5.05935       
379.0000      	26385.2243    	5.17831       
380.0000      	26315.7895    	5.02913       
381.0000      	26246.7192    	4.83642       
382.0000      	26178.0105    	4.85559       
383.0000      	26109.6606    	4.97896       
384.0000      	26041.6667    	4.95384       
385.0000      	25974.0260    	5.04091       
386.0000      	25906.7358    	4.98324       
387.0000      	25839.7933    	5.08014       
388.0000      	25773.1959    	5.14247       
389.0000      	25706.9409    	5.23536       
390.0000      	25641.0256    	5.27223       
391.0000      	25575.4476    	5.26928       
392.0000      	25510.2041    	5.30128       
393.0000      	25445.2926    	5.24019       
394.0000      	25380.7107    	5.28940       
395.0000      	25316.4557    	5.37339       
396.0000      	25252.5253    	5.37189       
397.0000      	25188.9169    	5.46394       
398.0000      	25125.6281    	5.42496       
399.0000      	25062.6566    	5.41810       
400.0000      	25000.0000    	5.51715       
401.0000      	24937.6559    	5.74549       
402.0000      	24875.6219    	5.73427       
403.0000      	24813.8958    	5.71647       
404.0000      	24752.4752    	5.72750       
405.0000      	24691.3580    	5.73080       
406.0000      	24630.5419    	5.81273       
407.0000      	24570.0246    	5.96732       
408.0000      	24509.8039    	6.06661       
409.0000      	24449.8778    	5.93868       
410.0000      	24390.2439    	5.83515       
411.0000      	24330.9002    	5.88397       
412.0000      	24271.8447    	5.94644       
413.0000      	24213.0751    	5.96969       
414.0000      	24154.5894    	6.02853       
415.0000      	24096.3855    	6.06100       
416.0000      	24038.4615    	6.04195       
417.0000      	23980.8153    	6.06856       
418.0000      	23923.4450    	6.10422       
419.0000      	23866.3484    	6.07860       
420.0000      	23809.5238    	6.07895       
421.0000      	23752.9691    	6.02348       
422.0000      	23696.6825    	6.06204       
423.0000      	23640.6619    	6.15765       
424.0000      	23584.9057    	6.13319       
425.0000      	23529.4118    	6.15414       
426.0000      	23474.1784    	6.24467       
427.0000      	23419.2037    	6.21522       
428.0000      	23364.4860    	6.14304       
429.0000      	23310.0233    	6.11089       
430.0000      	23255.8140    	6.07705       
431.0000      	23201.8561    	6.21738       
432.0000      	23148.1481    	6.51215       
433.0000      	23094.6882    	6.59620       
434.0000      	23041.4747    	6.53951       
435.0000      	22988.5057    	6.41961       
436.0000      	22935.7798    	6.44955       
437.0000      	22883.2952    	6.52157       
438.0000      	22831.0502    	6.52196       
439.0000      	22779.0433    	6.52312       
440.0000      	22727.2727    	6.58517       
441.0000      	22675.7370    	6.62408       
442.0000      	22624.4344    	6.63245       
443.0000      	22573.3634    	6.69198       
444.0000      	22522.5225    	6.78525       
445.0000      	22471.9101    	6.87574       
446.0000      	22421.5247    	6.85092       
447.0000      	22371.3647    	6.75544       
448.0000      	22321.4286    	6.73206       
449.0000      	22271.7149    	6.75956       
450.0000      	22222.2222    	6.73410       
451.0000      	22172.9490    	6.80286       
