Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:38:14

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	7.53989       
301.0000      	33222.5914    	7.51861       
302.0000      	33112.5828    	7.97375       
303.0000      	33003.3003    	8.38567       
304.0000      	32894.7368    	9.91107       
305.0000      	32786.8852    	8.50146       
306.0000      	32679.7386    	7.55753       
307.0000      	32573.2899    	6.82874       
308.0000      	32467.5325    	7.62773       
309.0000      	32362.4595    	7.40538       
310.0000      	32258.0645    	7.14123       
311.0000      	32154.3408    	7.76426       
312.0000      	32051.2821    	7.21254       
313.0000      	31948.8818    	7.48928       
314.0000      	31847.1338    	7.61484       
315.0000      	31746.0317    	7.26030       
316.0000      	31645.5696    	6.66322       
317.0000      	31545.7413    	6.26959       
318.0000      	31446.5409    	6.51591       
319.0000      	31347.9624    	5.97318       
320.0000      	31250.0000    	6.57546       
321.0000      	31152.6480    	6.32468       
322.0000      	31055.9006    	6.27175       
323.0000      	30959.7523    	6.44838       
324.0000      	30864.1975    	6.27573       
325.0000      	30769.2308    	6.35338       
326.0000      	30674.8466    	6.31816       
327.0000      	30581.0398    	6.07927       
328.0000      	30487.8049    	5.41027       
329.0000      	30395.1368    	5.67006       
330.0000      	30303.0303    	6.09303       
331.0000      	30211.4804    	5.88872       
332.0000      	30120.4819    	5.47476       
333.0000      	30030.0300    	5.18364       
334.0000      	29940.1198    	5.37437       
335.0000      	29850.7463    	5.66656       
336.0000      	29761.9048    	5.82033       
337.0000      	29673.5905    	5.80503       
338.0000      	29585.7988    	5.67876       
339.0000      	29498.5251    	5.34550       
340.0000      	29411.7647    	5.11669       
341.0000      	29325.5132    	5.35881       
342.0000      	29239.7661    	5.74217       
343.0000      	29154.5190    	5.51333       
344.0000      	29069.7674    	5.42663       
345.0000      	28985.5072    	5.65517       
346.0000      	28901.7341    	5.74692       
347.0000      	28818.4438    	5.73814       
348.0000      	28735.6322    	5.65260       
349.0000      	28653.2951    	5.51045       
350.0000      	28571.4286    	5.32269       
351.0000      	28490.0285    	5.50642       
352.0000      	28409.0909    	5.50255       
353.0000      	28328.6119    	5.48113       
354.0000      	28248.5876    	5.39510       
355.0000      	28169.0141    	5.06089       
356.0000      	28089.8876    	5.18089       
357.0000      	28011.2045    	5.24153       
358.0000      	27932.9609    	5.47139       
359.0000      	27855.1532    	5.65405       
360.0000      	27777.7778    	5.63432       
361.0000      	27700.8310    	5.41956       
362.0000      	27624.3094    	5.48360       
363.0000      	27548.2094    	5.71340       
364.0000      	27472.5275    	5.70032       
365.0000      	27397.2603    	5.43121       
366.0000      	27322.4044    	5.36876       
367.0000      	27247.9564    	5.29651       
368.0000      	27173.9130    	5.25784       
369.0000      	27100.2710    	5.41649       
370.0000      	27027.0270    	5.41635       
371.0000      	26954.1779    	5.35911       
372.0000      	26881.7204    	5.32392       
373.0000      	26809.6515    	5.46074       
374.0000      	26737.9679    	5.50273       
375.0000      	26666.6667    	5.34317       
376.0000      	26595.7447    	5.27461       
377.0000      	26525.1989    	5.26951       
378.0000      	26455.0265    	5.37536       
