Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:46:26

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	8.74507       
301.0000      	33222.5914    	9.28098       
302.0000      	33112.5828    	7.34300       
303.0000      	33003.3003    	7.08764       
304.0000      	32894.7368    	8.58085       
305.0000      	32786.8852    	8.13988       
306.0000      	32679.7386    	8.42776       
307.0000      	32573.2899    	8.08751       
308.0000      	32467.5325    	7.77660       
309.0000      	32362.4595    	7.18658       
310.0000      	32258.0645    	7.08712       
311.0000      	32154.3408    	6.83293       
312.0000      	32051.2821    	6.13910       
313.0000      	31948.8818    	6.57042       
314.0000      	31847.1338    	6.79901       
315.0000      	31746.0317    	6.91624       
316.0000      	31645.5696    	6.74990       
317.0000      	31545.7413    	6.57550       
318.0000      	31446.5409    	6.40033       
319.0000      	31347.9624    	6.05839       
320.0000      	31250.0000    	6.69858       
321.0000      	31152.6480    	6.32944       
322.0000      	31055.9006    	6.58593       
323.0000      	30959.7523    	6.72168       
324.0000      	30864.1975    	6.04769       
325.0000      	30769.2308    	5.91180       
326.0000      	30674.8466    	6.10962       
327.0000      	30581.0398    	6.29382       
328.0000      	30487.8049    	5.92046       
329.0000      	30395.1368    	5.77834       
330.0000      	30303.0303    	5.70909       
331.0000      	30211.4804    	5.73943       
332.0000      	30120.4819    	5.97335       
333.0000      	30030.0300    	5.92065       
334.0000      	29940.1198    	6.06632       
335.0000      	29850.7463    	5.47753       
336.0000      	29761.9048    	5.11945       
337.0000      	29673.5905    	5.41086       
338.0000      	29585.7988    	5.66917       
339.0000      	29498.5251    	5.69257       
340.0000      	29411.7647    	5.49145       
341.0000      	29325.5132    	5.64645       
342.0000      	29239.7661    	5.77954       
343.0000      	29154.5190    	5.67542       
344.0000      	29069.7674    	5.46437       
345.0000      	28985.5072    	5.21888       
346.0000      	28901.7341    	5.14340       
347.0000      	28818.4438    	5.07440       
348.0000      	28735.6322    	5.20466       
349.0000      	28653.2951    	5.29626       
350.0000      	28571.4286    	5.22177       
351.0000      	28490.0285    	5.29308       
352.0000      	28409.0909    	5.22313       
353.0000      	28328.6119    	5.32623       
354.0000      	28248.5876    	5.44302       
355.0000      	28169.0141    	5.39489       
356.0000      	28089.8876    	5.62129       
357.0000      	28011.2045    	5.44234       
358.0000      	27932.9609    	5.39324       
359.0000      	27855.1532    	5.51795       
360.0000      	27777.7778    	5.67849       
361.0000      	27700.8310    	5.60054       
362.0000      	27624.3094    	5.41806       
363.0000      	27548.2094    	5.27553       
364.0000      	27472.5275    	5.14723       
365.0000      	27397.2603    	5.20590       
366.0000      	27322.4044    	5.42220       
367.0000      	27247.9564    	5.37747       
368.0000      	27173.9130    	5.28877       
369.0000      	27100.2710    	5.25457       
370.0000      	27027.0270    	5.28448       
371.0000      	26954.1779    	5.29684       
372.0000      	26881.7204    	5.45339       
373.0000      	26809.6515    	5.47024       
374.0000      	26737.9679    	5.37668       
375.0000      	26666.6667    	5.27655       
376.0000      	26595.7447    	5.47662       
377.0000      	26525.1989    	5.52100       
378.0000      	26455.0265    	5.46541       
379.0000      	26385.2243    	5.42386       
380.0000      	26315.7895    	5.43949       
381.0000      	26246.7192    	5.41039       
382.0000      	26178.0105    	5.45272       
383.0000      	26109.6606    	5.55608       
384.0000      	26041.6667    	5.48589       
385.0000      	25974.0260    	5.45137       
386.0000      	25906.7358    	5.56291       
387.0000      	25839.7933    	5.79272       
388.0000      	25773.1959    	5.70689       
389.0000      	25706.9409    	5.71909       
390.0000      	25641.0256    	5.77449       
391.0000      	25575.4476    	5.70464       
392.0000      	25510.2041    	5.76597       
393.0000      	25445.2926    	5.98857       
394.0000      	25380.7107    	6.11893       
395.0000      	25316.4557    	6.01196       
396.0000      	25252.5253    	6.02506       
397.0000      	25188.9169    	6.01627       
398.0000      	25125.6281    	6.05043       
399.0000      	25062.6566    	6.20650       
400.0000      	25000.0000    	6.27505       
401.0000      	24937.6559    	6.27283       
402.0000      	24875.6219    	6.25614       
403.0000      	24813.8958    	6.31007       
404.0000      	24752.4752    	6.42270       
405.0000      	24691.3580    	6.58013       
406.0000      	24630.5419    	6.45027       
407.0000      	24570.0246    	6.46225       
408.0000      	24509.8039    	6.45704       
409.0000      	24449.8778    	6.54154       
410.0000      	24390.2439    	6.74408       
411.0000      	24330.9002    	6.79265       
412.0000      	24271.8447    	6.75414       
413.0000      	24213.0751    	6.67685       
414.0000      	24154.5894    	6.65465       
415.0000      	24096.3855    	6.74639       
416.0000      	24038.4615    	6.81411       
417.0000      	23980.8153    	6.83854       
418.0000      	23923.4450    	6.76206       
419.0000      	23866.3484    	6.78298       
420.0000      	23809.5238    	6.76279       
421.0000      	23752.9691    	6.82943       
422.0000      	23696.6825    	6.82368       
423.0000      	23640.6619    	6.91369       
424.0000      	23584.9057    	6.99001       
425.0000      	23529.4118    	6.98967       
426.0000      	23474.1784    	7.07925       
427.0000      	23419.2037    	7.12886       
428.0000      	23364.4860    	7.11795       
429.0000      	23310.0233    	7.01695       
430.0000      	23255.8140    	7.03070       
431.0000      	23201.8561    	7.08771       
432.0000      	23148.1481    	7.17754       
433.0000      	23094.6882    	7.17799       
434.0000      	23041.4747    	7.19490       
435.0000      	22988.5057    	7.27920       
436.0000      	22935.7798    	7.36979       
437.0000      	22883.2952    	7.38705       
438.0000      	22831.0502    	7.35660       
439.0000      	22779.0433    	7.39184       
440.0000      	22727.2727    	7.43042       
441.0000      	22675.7370    	7.35516       
442.0000      	22624.4344    	7.28485       
443.0000      	22573.3634    	7.42356       
444.0000      	22522.5225    	7.52305       
445.0000      	22471.9101    	7.51594       
446.0000      	22421.5247    	7.46116       
447.0000      	22371.3647    	7.54686       
448.0000      	22321.4286    	7.50411       
449.0000      	22271.7149    	7.55909       
450.0000      	22222.2222    	7.59066       
451.0000      	22172.9490    	7.54861       
452.0000      	22123.8938    	7.56476       
453.0000      	22075.0552    	7.63386       
454.0000      	22026.4317    	7.75746       
455.0000      	21978.0220    	7.74701       
456.0000      	21929.8246    	7.73017       
457.0000      	21881.8381    	7.74897       
458.0000      	21834.0611    	7.80135       
459.0000      	21786.4924    	7.91329       
460.0000      	21739.1304    	7.94957       
461.0000      	21691.9740    	7.96442       
462.0000      	21645.0216    	7.95883       
463.0000      	21598.2721    	7.97230       
464.0000      	21551.7241    	7.99262       
465.0000      	21505.3763    	8.09464       
466.0000      	21459.2275    	8.13196       
467.0000      	21413.2762    	8.17983       
468.0000      	21367.5214    	8.25034       
469.0000      	21321.9616    	8.33256       
470.0000      	21276.5957    	8.38579       
471.0000      	21231.4225    	8.44009       
472.0000      	21186.4407    	8.47247       
473.0000      	21141.6490    	8.44004       
474.0000      	21097.0464    	8.51867       
475.0000      	21052.6316    	8.62551       
476.0000      	21008.4034    	8.72589       
477.0000      	20964.3606    	8.78836       
478.0000      	20920.5021    	8.80878       
479.0000      	20876.8267    	8.87427       
480.0000      	20833.3333    	8.95184       
481.0000      	20790.0208    	9.02364       
482.0000      	20746.8880    	9.11316       
483.0000      	20703.9337    	9.18316       
484.0000      	20661.1570    	9.24967       
