Video	Animal	Stimulus	Viewer_1	Viewer_2	Viewer_3	Viewer_4	Viewer_5	Response_rate	Unanimous
6	1	C	0	0	0	0	0	0	N
24	1	L	1	1	0	1	1	0.8	N
1	1	O	1	1	1	1	0	0.8	N
2	2	C	0	0	0	0	0	0	N
12	2	L	0	0	0	0	0	0	N
18	2	O	0	0	0	0	0	0	N
8	3	C	0	0	1	0	0	0.2	N
3	3	L	1	1	1	1	1	1	Y
14	3	O	1	1	0	1	1	0.8	N
4	4	C	0	0	0	1	1	0.4	N
5	4	L	0	0	0	1	1	0.4	N
22	4	O	1	0	1	0	0	0.4	N
15	5	C	1	1	1	0	1	0.8	N
7	5	L	1	1	1	1	1	1	Y
20	5	O	1	1	0	1	1	0.8	N
11	6	C	1	0	1	1	0	0.6	N
9	6	L	1	0	1	0	0	0.4	N
23	6	O	1	1	1	0	1	0.8	N
19	7	C	0	0	0	0	0	0	N
10	7	L	1	0	0	0	1	0.4	N
17	7	O	0	0	1	1	0	0.4	N
13	8	L	1	1	0	1	0	0.6	N
16	8	O	0	1	1	0	0	0.4	N
26	9	L	1	1	1	1	1	1	Y
21	9	O	1	1	0	0	1	0.6	N
25	10	C	1	1	1	1	0	0.8	N
27	11	L	1	1	1	1	1	1	Y
31	11	O	1	1	1	1	1	1	Y
34	12	L	0	0	0	0	0	0	N
28	12	O	0	0	0	0	0	0	N
29	13	L	1	1	1	1	1	1	Y
33	13	O	0	0	0	0	1	0.2	N
30	14	L	1	1	0	1	1	0.8	N
32	14	O	0	0	0	1	0	0.2	N
35	15	L	1	1	1	1	1	1	Y
36	15	O	1	1	1	0	1	0.8	N
