contrast	target	abs_heading	heading	batch
1	20	10	10	2019
1	20	335	20	2019
1	20	70	25	2019
1	20	180	45	2019
1	20	150	60	2019
1	20	200	65	2019
1	20	250	70	2019
1	20	260	80	2019
1	20	80	80	2019
1	20	300	120	2019
1	20	220	130	2019
1	20	180	135	2019
1	20	230	140	2019
1	20	175	175	2019
1	20	5	185	2019
1	20	230	185	2019
1	20	100	190	2019
1	20	100	190	2019
1	20	240	195	2019
1	20	290	200	2019
1	20	200	200	2019
1	20	215	215	2019
1	20	260	215	2019
1	20	80	215	2019
1	20	185	230	2019
1	20	140	230	2019
1	20	145	235	2019
1	20	120	255	2019
1	20	225	270	2019
1	20	180	270	2019
1	20	240	285	2019
1	20	330	285	2019
1	20	120	300	2019
1	20	300	300	2019
1	20	170	305	2019
1	20	185	320	2019
1	20	240	330	2019
1	20	300	345	2019
1	20	215	350	2019
1	20	85	355	2019
1	30	50	5	2019
1	30	5	5	2019
1	30	100	10	2019
1	30	235	10	2019
1	30	115	25	2019
1	30	175	40	2019
1	30	230	50	2019
1	30	95	50	2019
1	30	185	50	2019
1	30	150	60	2019
1	30	300	75	2019
1	30	35	80	2019
1	30	240	105	2019
1	30	110	110	2019
1	30	110	110	2019
1	30	20	110	2019
1	30	225	135	2019
1	30	90	135	2019
1	30	0	135	2019
1	30	270	135	2019
1	30	240	150	2019
1	30	250	160	2019
1	30	210	165	2019
1	30	125	170	2019
1	30	315	180	2019
1	30	140	185	2019
1	30	280	190	2019
1	30	240	195	2019
1	30	250	205	2019
1	30	260	215	2019
1	30	215	215	2019
1	30	135	225	2019
1	30	335	245	2019
1	30	160	250	2019
1	30	165	255	2019
1	30	135	270	2019
1	30	270	270	2019
1	30	180	270	2019
1	30	65	290	2019
1	30	300	300	2019
1	30	205	340	2019
1	30	350	350	2019
1	30	310	355	2019
1	40	185	5	2019
1	40	160	25	2019
1	40	120	30	2019
1	40	5	50	2019
1	40	190	55	2019
1	40	55	55	2019
1	40	240	60	2019
1	40	215	80	2019
1	40	315	90	2019
1	40	210	120	2019
1	40	120	120	2019
1	40	150	150	2019
1	40	255	165	2019
1	40	165	165	2019
1	40	35	170	2019
1	40	225	180	2019
1	40	275	185	2019
1	40	120	210	2019
1	40	165	210	2019
1	40	260	215	2019
1	40	180	225	2019
1	40	280	235	2019
1	40	55	235	2019
1	40	240	240	2019
1	40	60	240	2019
1	40	45	270	2019
1	40	280	280	2019
1	40	195	285	2019
1	40	65	290	2019
1	40	225	315	2019
1	40	185	320	2019
1	40	55	325	2019
1	40	240	330	2019
1	40	285	330	2019
1	40	20	335	2019
1	40	200	335	2019
1	40	110	335	2019
1	40	215	350	2019
1	40	175	355	2019
1	40	40	355	2019
1	40	85	355	2019
1	50	180	0	2019
1	50	270	0	2019
1	50	45	0	2019
1	50	180	0	2019
1	50	90	0	2019
1	50	275	5	2019
1	50	140	5	2019
1	50	5	5	2019
1	50	100	10	2019
1	50	15	15	2019
1	50	300	30	2019
1	50	310	40	2019
1	50	355	40	2019
1	50	325	40	2019
1	50	185	50	2019
1	50	290	65	2019
1	50	170	80	2019
1	50	180	90	2019
1	50	240	105	2019
1	50	240	105	2019
1	50	30	120	2019
1	50	20	155	2019
1	50	160	160	2019
1	50	340	160	2019
1	50	210	165	2019
1	50	35	170	2019
1	50	180	180	2019
1	50	150	195	2019
1	50	120	210	2019
1	50	120	210	2019
1	50	180	225	2019
1	50	320	230	2019
1	50	100	235	2019
1	50	330	240	2019
1	50	200	245	2019
1	50	110	245	2019
1	50	290	245	2019
1	50	340	250	2019
1	50	250	250	2019
1	50	320	275	2019
1	50	230	275	2019
1	50	70	295	2019
1	50	315	315	2019
1	50	285	330	2019
1	50	355	340	2019
1	50	100	340	2019
1	50	75	345	2019
1	50	170	350	2019
1	50	215	350	2019
1	50	170	350	2019
1	50	85	355	2019
1	50	355	355	2019
1	60	315	0	2019
1	60	225	0	2019
1	60	90	0	2019
1	60	50	5	2019
1	60	97.5	7.5	2019
1	60	20	20	2019
1	60	155	20	2019
1	60	295	25	2019
1	60	215	35	2019
1	60	135	45	2019
1	60	90	45	2019
1	60	5	50	2019
1	60	15	60	2019
1	60	105	60	2019
1	60	60	60	2019
1	60	110	65	2019
1	60	290	65	2019
1	60	205	70	2019
1	60	310	85	2019
1	60	315	90	2019
1	60	15	105	2019
1	60	295	115	2019
1	60	305	125	2019
1	60	15	150	2019
1	60	190	190	2019
1	60	110	200	2019
1	60	10	235	2019
1	60	250	250	2019
1	60	120	255	2019
1	60	220	265	2019
1	60	320	275	2019
1	60	280	280	2019
1	60	240	285	2019
1	60	200	290	2019
1	60	200	290	2019
1	60	70	295	2019
1	60	120	300	2019
1	60	80	305	2019
1	60	55	325	2019
1	60	65	335	2019
1	60	85	355	2019
1	60	40	355	2019
1	70	180	0	2019
1	70	50	5	2019
1	70	325	10	2019
1	70	245	20	2019
1	70	110	20	2019
1	70	80	35	2019
1	70	40	40	2019
1	70	85	40	2019
1	70	330	60	2019
1	70	105	60	2019
1	70	75	75	2019
1	70	210	75	2019
1	70	40	85	2019
1	70	300	120	2019
1	70	300	120	2019
1	70	40	130	2019
1	70	5	140	2019
1	70	185	140	2019
1	70	190	145	2019
1	70	180	180	2019
1	70	0	190	2019
1	70	350	215	2019
1	70	215	215	2019
1	70	340	250	2019
1	70	80	260	2019
1	70	0	270	2019
1	70	35	305	2019
1	70	175	310	2019
1	70	275	320	2019
1	70	145	325	2019
1	70	290	335	2019
1	70	340	340	2019
1	70	340	340	2019
1	70	210	345	2019
1	70	125	350	2019
1	70	80	350	2019
1	70	215	350	2019
1	70	130	355	2019
1	70	220	355	2019
1	70	130	355	2019
0.05	60	50	5	2019
0.05	60	285	15	2019
0.05	60	150	15	2019
0.05	60	165	30	2019
0.05	60	265	40	2019
0.05	60	150	60	2019
0.05	60	35	80	2019
0.05	60	350	80	2019
0.05	60	265	85	2019
0.05	60	235	100	2019
0.05	60	330	105	2019
0.05	60	200	110	2019
0.05	60	200	110	2019
0.05	60	75	120	2019
0.05	60	350	125	2019
0.05	60	100	145	2019
0.05	60	210	165	2019
0.05	60	120	165	2019
0.05	60	185	185	2019
0.05	60	10	190	2019
0.05	60	280	190	2019
0.05	60	160	205	2019
0.05	60	145	235	2019
0.05	60	345	255	2019
0.05	60	260	260	2019
0.05	60	170	260	2019
0.05	60	45	270	2019
0.05	60	270	270	2019
0.05	60	50	275	2019
0.05	60	320	275	2019
0.05	60	330	285	2019
0.05	60	295	295	2019
0.05	60	215	305	2019
0.05	60	125	305	2019
0.05	60	180	315	2019
0.05	60	135	315	2019
0.05	60	190	325	2019
0.05	60	10	325	2019
0.05	60	30	345	2019
0.05	60	120	345	2019
0.05	60	345	345	2019
0.05	60	350	350	2019
0.1	60	90	0	2019
0.1	60	180	0	2019
0.1	60	185	5	2019
0.1	60	230	5	2019
0.1	60	235	10	2019
0.1	60	190	10	2019
0.1	60	205	25	2019
0.1	60	170	35	2019
0.1	60	310	40	2019
0.1	60	310	40	2019
0.1	60	135	45	2019
0.1	60	285	60	2019
0.1	60	70	70	2019
0.1	60	195	105	2019
0.1	60	120	120	2019
0.1	60	35	125	2019
0.1	60	265	130	2019
0.1	60	315	135	2019
0.1	60	5	140	2019
0.1	60	5	140	2019
0.1	60	155	155	2019
0.1	60	210	165	2019
0.1	60	315	180	2019
0.1	60	180	180	2019
0.1	60	225	180	2019
0.1	60	240	195	2019
0.1	60	160	205	2019
0.1	60	265	220	2019
0.1	60	180	225	2019
0.1	60	320	230	2019
0.1	60	15	240	2019
0.1	60	120	255	2019
0.1	60	315	270	2019
0.1	60	235	280	2019
0.1	60	250	295	2019
0.1	60	265	310	2019
0.1	60	355	310	2019
0.1	60	350	350	2019
0.1	60	355	355	2019
0	0	160	160	2019
0	0	290	200	2019
0	0	40	355	2019
0	0	320	140	2019
0	0	225	90	2019
0	0	315	45	2019
0	0	180	315	2019
0	0	110	110	2019
0	0	185	50	2019
0	0	170	80	2019
0	0	30	75	2019
0	0	290	245	2019
0	0	260	305	2019
0	0	135	270	2019
0	0	20	20	2019
0	0	145	100	2019
0	0	340	70	2019
0	0	60	240	2019
0	0	165	345	2019
0	0	150	195	2019
0	0	285	195	2019
0	0	40	355	2019
0	0	290	65	2019
0	0	240	105	2019
0	0	340	25	2019
0	0	170	170	2019
0	0	35	215	2019
0	0	280	190	2019
0	0	175	40	2019
0	0	235	325	2019
0	0	320	5	2019
0	0	200	155	2019
0	0	270	45	2019
0	0	275	95	2019
0	0	340	250	2019
0	0	210	210	2019
0	0	250	250	2019
